Timestamp	Page	clicks
12/5/2016, 2:41:44 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:42:17 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:42:20 PM	http://localhost:8000/api/property/id/5845e8a7a778d91f34c7b41f/book	1
12/5/2016, 2:42:20 PM	http://localhost:8000/api/property/id/5845e8a7a778d91f34c7b41f/book	1
12/5/2016, 2:42:22 PM	http://localhost:8000/api/property/paymentGateway	1
12/5/2016, 2:43:18 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:43:31 PM	http://localhost:8000/api/property/id/5845eb2c950029168430da72/book	1
12/5/2016, 2:43:31 PM	http://localhost:8000/api/property/id/5845eb2c950029168430da72/book	1
12/5/2016, 2:43:33 PM	http://localhost:8000/api/property/paymentGateway	1
12/5/2016, 2:43:44 PM	http://localhost:8000/api/property/id/5845eb2c950029168430da72/book	1
12/5/2016, 2:43:44 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:44:00 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:44:02 PM	http://localhost:8000/api/property/id/5845eb2c950029168430da72/book	1
12/5/2016, 2:44:02 PM	http://localhost:8000/api/property/id/5845eb2c950029168430da72/book	1
12/5/2016, 2:44:04 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:44:32 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:44:34 PM	http://localhost:8000/api/property/id/5845eb2c950029168430da72/book	1
12/5/2016, 2:44:34 PM	http://localhost:8000/api/property/id/5845eb2c950029168430da72/book	1
12/5/2016, 2:44:36 PM	http://localhost:8000/api/property/paymentGateway	1
12/5/2016, 2:45:08 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:45:11 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:45:13 PM	http://localhost:8000/api/auth/logout	1
12/5/2016, 2:45:24 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:45:27 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:45:39 PM	http://localhost:8000/api/auth/logout	1
12/5/2016, 2:46:07 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:46:09 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:49:15 PM	http://localhost:8000/api/profile/myTrips	1
12/5/2016, 2:49:15 PM	http://localhost:8000/api/profile/myTrips	1
12/5/2016, 2:49:32 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:49:34 PM	http://localhost:8000/api/property/id/5845e875a778d91f34c7b41e/book	1
12/5/2016, 2:49:34 PM	http://localhost:8000/api/property/id/5845e875a778d91f34c7b41e/book	1
12/5/2016, 2:49:35 PM	http://localhost:8000/api/property/paymentGateway	1
12/5/2016, 2:49:53 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:49:55 PM	http://localhost:8000/api/auth/logout	1
12/5/2016, 2:50:03 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:50:06 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:52:47 PM	http://localhost:8000/host	1
12/5/2016, 2:52:47 PM	http://localhost:8000/host	1
12/5/2016, 2:54:18 PM	http://localhost:8000/api/property/list	1
12/5/2016, 2:54:47 PM	http://localhost:8000/api/property/searchResult	1
12/5/2016, 2:54:49 PM	http://localhost:8000/api/property/id/5845f01a950029168430da76/book	1
12/5/2016, 2:54:50 PM	http://localhost:8000/api/property/id/5845f01a950029168430da76/book	1
12/5/2016, 2:54:56 PM	http://localhost:8000/api/property/id/5845f01a950029168430da76/book	1
12/5/2016, 2:54:56 PM	http://localhost:8000/api/property/id/5845f01a950029168430da76/book	1
12/5/2016, 2:54:58 PM	http://localhost:8000/api/property/paymentGateway	1
12/5/2016, 2:55:34 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 2:55:36 PM	http://localhost:8000/api/inbox/inbox	1
12/5/2016, 3:03:59 PM	http://localhost:8000/api/profile/dashboard	1
12/5/2016, 3:04:52 PM	http://localhost:8000/api/profile/myTrips	1
12/5/2016, 3:04:53 PM	http://localhost:8000/api/profile/yourListings	1
12/5/2016, 3:04:53 PM	http://localhost:8000/api/profile/yourListings	1
12/5/2016, 3:04:57 PM	http://localhost:8000/api/profile/dashboard	1
12/5/2016, 3:05:15 PM	http://localhost:8000/api/profile/myTrips	1
12/5/2016, 3:05:16 PM	http://localhost:8000/api/profile/dashboard	1
12/5/2016, 3:05:43 PM	http://localhost:8000/api/profile/myTrips	1
12/5/2016, 3:05:44 PM	http://localhost:8000/api/profile/dashboard	1
